time,latitude,longitude,temperature,temperature_C,DegreeDays,DegreeDays_ac
2022-05-10T12:00:00,1.75438263071239,38.671875,309.2063,36,22.8,1411.0999999999985
2022-05-11T12:00:00,1.05262957882764,38.671875,309.97208,36,22.8,1433.8999999999985
2022-05-11T12:00:00,1.75438263071239,38.671875,310.04825,37,22.8,1456.6999999999985
2022-05-12T12:00:00,1.05262957882764,38.671875,309.96487,36,22.8,1479.4999999999984
2022-05-12T12:00:00,1.75438263071239,38.671875,309.9102,36,22.8,1502.2999999999984
2022-05-13T12:00:00,1.05262957882764,38.671875,310.7059,37,22.8,1525.0999999999983
2022-05-13T12:00:00,1.75438263071239,38.671875,310.44614,37,22.8,1547.8999999999983
2022-05-14T12:00:00,1.05262957882764,38.671875,311.0681,38,22.8,1570.6999999999982
2022-05-14T12:00:00,1.75438263071239,38.671875,311.03296,38,22.8,1593.4999999999982
2022-05-15T12:00:00,1.05262957882764,38.671875,310.90027,37,22.8,1616.2999999999981
2022-05-15T12:00:00,1.75438263071239,38.671875,310.71863,37,22.8,1639.099999999998
